cell_id	0	1	2	3	4	5	6	7	8	9
PDX_mRCC_18	0.999999958455839	1.0877552579890197e-71	7.936970430805572e-17	4.1543625325687656e-08	2.7340631654467234e-51	5.384389603062151e-13	1.0877552579890197e-71	6.717568552386012e-31	4.2590452742917014e-27	2.219538557809247e-27
PDX_mRCC_19	2.3666306545358414e-07	1.0438681975519317e-73	1.482384474701784e-18	0.9999997632548125	6.341269354303582e-51	8.212119271714695e-11	1.0438681975519317e-73	8.829852814785914e-29	1.5154074938266675e-18	1.6555641733677689e-18
PDX_mRCC_2	0.006797299570616943	1.3210764735209779e-64	0.9932016276616692	9.39873379432211e-11	1.9644391154286438e-42	1.072318493472689e-06	1.3210764735209779e-64	4.77065928444678e-19	2.9572252214855936e-21	3.5523064571833466e-10
PDX_mRCC_20	7.04721562613183e-17	6.423510326546529e-71	0.9999994953249635	2.0816124452671014e-28	2.228879048529414e-46	4.490350861483894e-14	6.423510326546529e-71	7.798239096428442e-14	4.277858508100627e-15	5.046749069937888e-07
PDX_mRCC_21	0.9999999373188138	1.5930374278139634e-67	4.712428110844363e-12	6.205166167745788e-08	3.3870611521550264e-41	6.248127816343303e-10	1.5930374278139634e-67	8.488878443605492e-27	6.880676815377226e-21	8.380374469890033e-18
PDX_mRCC_22	0.999999999886775	7.58715949135372e-74	1.0871924692565252e-20	2.0656239527764763e-11	1.677002995017383e-45	9.257105261039932e-11	7.58715949135372e-74	8.921291966878847e-29	1.0889054409941335e-20	1.2479788785979968e-27
PDX_mRCC_23	0.9999999935494586	4.026876232933371e-73	6.2830971870984375e-12	9.147830586122962e-13	1.4472117432665192e-48	6.443344950387933e-09	4.026876232933371e-73	1.2539965605845082e-27	3.433049999543261e-22	1.7437897541749864e-23
PDX_mRCC_24	0.9995712713354624	1.6912134525594178e-64	4.84835028374347e-19	1.1280785885535199e-10	2.6478507656409494e-43	0.0004287285517351425	1.6912134525594178e-64	1.799433615908237e-23	3.0984721895743036e-17	3.318085376378898e-20
PDX_mRCC_25	0.9999999991761683	7.165603191634145e-72	3.484395380192838e-13	8.128435197907565e-10	6.988203794992327e-50	1.0641602491741307e-11	7.165603191634145e-72	2.928540156347888e-26	8.456621780702596e-23	5.266017703552502e-26
PDX_mRCC_26	8.369289459339063e-08	4.914129812540489e-77	2.4538785581323807e-23	0.9999999163071074	1.1582774820627397e-52	1.0337587365091792e-15	4.914129812540489e-77	2.155280799626392e-30	1.5011037517496817e-24	6.8516430585871945e-22
PDX_mRCC_27	0.9999999992950634	2.7480489617729217e-74	5.114992987243541e-13	2.595273068084498e-13	2.267028494698421e-46	7.041656203746799e-10	2.7480489617729217e-74	2.963486230091939e-23	1.567604920005111e-19	5.678113642763947e-20
PDX_mRCC_28	0.9999999290827642	2.4925196678922927e-73	2.3317300081097524e-16	6.810991293144807e-08	8.957821211874638e-49	2.807321722914766e-09	2.4925196678922927e-73	7.823827480218317e-23	4.5492690888603155e-22	1.0514840614795447e-21
PDX_mRCC_29	9.39203694405084e-13	1.507633901746647e-69	0.9999999999309992	5.976650391204505e-21	1.3095222219841638e-42	5.364949739605366e-21	1.507633901746647e-69	6.347801115536731e-11	3.4535397457695864e-12	1.1289900097091415e-12
PDX_mRCC_3	3.0248324429399073e-15	7.690550539499159e-73	0.9999999999598401	3.4557023661438646e-22	1.0723996934882247e-46	1.4165564162730716e-16	7.690550539499159e-73	2.240363826488238e-13	4.659757663070669e-16	3.993213517161026e-11
PDX_mRCC_30	1.0526467056140462e-13	4.995159542449762e-68	0.9999999999611973	7.809834623485718e-22	2.8820096651661397e-44	3.8778452873955136e-17	4.995159542449762e-68	5.03208032846682e-19	7.723840066046136e-19	3.869934576185138e-11
PDX_mRCC_31	0.9999999936805573	2.4666905448435113e-76	2.1909228506781557e-15	6.31210479206606e-09	5.8140753750915114e-52	7.33467493870505e-12	2.4666905448435113e-76	9.701638238573308e-27	4.020225858765023e-24	2.549377400853093e-21
PDX_mRCC_32	1.0315729581826125e-23	4.4864166551025034e-66	2.135907671069406e-09	3.731792751229931e-19	9.538864121811623e-40	2.162480029901222e-11	4.4864166551025034e-66	4.380781173139517e-05	2.8629457344327265e-08	0.9999561614012805
PDX_mRCC_33	0.9999999999924754	2.1992468780959887e-74	1.269585048032179e-13	4.5907472814368744e-12	5.183701354194929e-50	2.804144408351068e-12	2.1992468780959887e-74	1.719624014336485e-23	1.2989496777410075e-21	8.615195107508043e-25
