"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OTUD6B-AS1",2.44848104894805e-07,-0.531770574448307,0.769,0.919,0.00824991204632556
"CRISPLD1",2.53379777384863e-07,-0.863042074686876,0.75,0.852,0.00853737821920559
"ZNF217",2.57650839183014e-07,0.780603213725807,0.692,0.437,0.00868128737543248
"CHMP4B",2.5943668362694e-07,-0.461256206178866,0.846,0.93,0.00874145961812612
"MPST",2.64610650088036e-07,-0.590291072813282,0.596,0.813,0.00891579124406627
"AKAP9",2.67520225960817e-07,-0.670252739245964,0.827,0.891,0.00901382649352377
"MTMR14",2.74446212526449e-07,0.853974297660026,0.788,0.486,0.00924719068486618
"CCT5",2.92640625225572e-07,-0.593141551559845,0.923,0.969,0.00986023322635043
"LAPTM4B",2.98224444313136e-07,-0.588639999536201,0.942,0.957,0.0100483744266868
"IFT22",3.00363619991026e-07,-0.655990120113906,0.212,0.569,0.0101204518119776
"POR",3.06825368381951e-07,-0.631370153340902,0.5,0.732,0.0103381739622615
"ANKIB1",3.16230069745769e-07,-0.670562921201178,0.327,0.583,0.0106550559700139
"CKS1B",3.19735577814457e-07,-0.571628933215326,0.904,0.981,0.0107731705588803
"S100A13",3.2351985482197e-07,-0.54811337015416,0.942,0.981,0.0109006779883714
"PIKFYVE",3.42184002892899e-07,-0.68868280657499,0.173,0.521,0.0115295477934733
"NDUFA5",3.72334276896272e-07,-0.555114605425713,0.846,0.895,0.012545431125743
"GNB2",3.77066851041006e-07,-0.547885167837821,0.923,0.957,0.0127048904789756
"CCDC14",3.77646340026142e-07,-0.644903584525487,0.673,0.826,0.0127244157808408
"TPT1",3.89389455031331e-07,0.50375873411243,1,1,0.0131200882978257
"SRP14",3.91096450049691e-07,0.450815944906121,1,0.997,0.0131776037879743
"MYOF",4.02604132733047e-07,0.744258184640798,0.615,0.311,0.0135653436483073
"ACTN4",4.04607145797992e-07,0.685632550688901,0.962,0.895,0.0136328331705175
"FSCN1",4.15717786099723e-07,1.15674792424681,0.808,0.304,0.0140071950848441
"ARPC5",4.3133659159289e-07,-0.370840842392544,0.981,0.995,0.0145334551171308
"RPS20",4.46870270154097e-07,-0.171378315113413,1,1,0.0150568468825721
"MOSPD3",4.70651112994413e-07,-0.641885019048386,0.615,0.743,0.0158581186012338
"PURB",5.10576454436695e-07,0.554840318838827,0.788,0.467,0.01720336305579
"RCN1",5.25892184151385e-07,-0.480789873111114,0.827,0.935,0.0177194112527968
"YIPF3",5.37453424315813e-07,-0.365556212267985,1,1,0.018108955678897
"C17orf62",5.41895688000312e-07,-0.634250716395297,0.577,0.756,0.0182586333114825
"ATP5B",5.62261505631702e-07,-0.501923711803095,0.865,0.954,0.0189448391707546
"MT-ND1",5.84554281710515e-07,-0.572104778414357,1,0.991,0.0196959719679541
"EMP2",5.9561181273057e-07,-0.553237332051325,0.885,0.941,0.0200685444181438
"KMT2E",6.23424749620154e-07,-0.678796014277327,0.692,0.805,0.0210056735137015
"PSMC5",6.23658332848128e-07,-0.571705020607285,0.692,0.828,0.0210135438669848
"CHIC2",6.61389017022543e-07,-0.582760209116281,0.712,0.868,0.0222848415395576
"DYNLL1",6.66255382394167e-07,0.597028898185804,1,0.987,0.0224488088543891
"TCEB2",6.94458075850199e-07,-0.316463614858543,0.981,0.997,0.0233990704076966
"ITM2C",7.05097157550828e-07,-0.562392411422319,0.788,0.899,0.0237575436265176
"RBX1",7.28603212709941e-07,-0.401553856593545,0.962,0.981,0.0245495566490488
"POSTN",7.74706622538822e-07,-1.4475509006972,0.154,0.339,0.0261029649398231
"RPS21",7.74903480111347e-07,-0.267851610968521,1,0.996,0.0261095978588717
"TMEM158",7.84764804929206e-07,-0.906185652390145,0.288,0.529,0.0264418653372847
"NME1",8.35522051373532e-07,-0.748183818323652,0.731,0.849,0.0281520799989798
"LINC00152",8.89228927132019e-07,0.869670563954879,0.712,0.534,0.0299616794707862
"ECI1",9.05204441703411e-07,-0.677144481391797,0.596,0.77,0.0304999584587547
"SERF2",9.18009689783141e-07,0.523395292566565,1,1,0.0309314184875531
"CEBPB",9.27815440278249e-07,0.921475846972785,1,0.965,0.0312618134447353
"NDUFB5",9.42251167073816e-07,-0.415411757442887,0.865,0.953,0.0317482108233851
"ARL6IP1",9.55655483345092e-07,-0.843695077207069,1,0.989,0.0321998558558295
"WDR1",9.83895748190328e-07,-0.518509481573335,0.904,0.948,0.0331513833395249
"CUL7",1.00863667158447e-06,0.664888156072302,0.827,0.444,0.0339850040123671
"RHOA",1.01603371795318e-06,-0.365705860284914,0.923,0.978,0.0342342400927145
