"","logFC","logCPM","F","PValue","ensembl_gene_id","hgnc_symbol","entrezid","gene","FDR","sig","signed_F","lab"
"12207",-0.85883209420164,8.31924057567409,2.04931236307944,0.155852988533958,"ENSG00000225663","FAM195B","348262","ENSG00000225663_FAM195B",1,FALSE,-2.04931236307944,""
"12208",-0.726242961817255,2.66521611191189,0.63478586658172,0.449245128445379,"ENSG00000225697","SLC26A6","65010","ENSG00000225697_SLC26A6",0.645604436227251,FALSE,-0.63478586658172,""
"12209",-0.337696653703446,5.68871321873485,0.0319989016585207,0.858445448966869,"ENSG00000225830","ERCC6","2074","ENSG00000225830_ERCC6",1,FALSE,-0.0319989016585207,""
"12210",1.40898704299884,2.85392136558064,1.3718859436435,0.244681893048136,"ENSG00000225883","BMS1P11",NA,"ENSG00000225883_BMS1P11",0.503896636041436,FALSE,1.3718859436435,""
"12211",-1.99029296737527,4.04589373500047,1.23800029720611,0.26891779485295,"ENSG00000225920","RIMKLBP2",NA,"ENSG00000225920_RIMKLBP2",0.781505766560007,FALSE,-1.23800029720611,""
"12212",-0.830178413732994,6.4645356784152,1.23155002034821,0.270159868067201,"ENSG00000225921","NOL7","51406","ENSG00000225921_NOL7",1,FALSE,-1.23155002034821,""
"12213",-1.55371286800918,2.44590723671594,7.62353337985132,0.00857059058266211,"ENSG00000225968","ELFN1","392617","ENSG00000225968_ELFN1",0.071886364774352,TRUE,-7.62353337985132,""
"12214",-0.501206386704785,6.05625438099333,0.15432283029682,0.695397715912432,"ENSG00000225972","MTND1P23",NA,"ENSG00000225972_MTND1P23",1,FALSE,-0.15432283029682,""
"12215",-1.09474996736129,2.85859549215992,2.1992964696365,0.141948899801899,"ENSG00000226085","UQCRFS1P1",NA,"ENSG00000226085_UQCRFS1P1",0.401632835189332,FALSE,-2.1992964696365,""
"12216",-1.47984683568965,3.21423297931939,2.61499484851033,0.10974056093664,"ENSG00000226188","HNRNPA1P3",NA,"ENSG00000226188_HNRNPA1P3",0.328183690632219,FALSE,-2.61499484851033,""
"12217",-3.12664259351272,2.92796346713915,6.10746411286867,0.0220531433081061,"ENSG00000226216","RPS12P5",NA,"ENSG00000226216_RPS12P5",0.135837333262744,FALSE,-6.10746411286867,""
"12218",0.720881909534968,4.10526126635277,1.29291945682148,0.265460270897924,"ENSG00000226253","MRPL35P3",NA,"ENSG00000226253_MRPL35P3",0.867542807417936,FALSE,1.29291945682148,""
"12219",0.0287418838577693,3.13256620419514,3.30630157505483e-07,0.999542527547053,"ENSG00000226259","GTF2H2B",NA,"ENSG00000226259_GTF2H2B",0.955911851539117,FALSE,3.30630157505483e-07,""
"12220",-0.75647261766224,3.19031240913474,0.552157508915674,0.459436728422908,"ENSG00000226356","RPS6P20",NA,"ENSG00000226356_RPS6P20",0.6845417122575,FALSE,-0.552157508915674,""
"12221",1.37044118660739,3.29970448401661,2.17385250525025,0.143979020674766,"ENSG00000226397","C12orf77","196415","ENSG00000226397_C12orf77",0.531120746683834,FALSE,2.17385250525025,""
"12222",-1.46145320508274,3.04617774043011,2.62131790288195,0.297696241938753,"ENSG00000226479","TMEM185B","79134","ENSG00000226479_TMEM185B",0.580074451160139,FALSE,-2.62131790288195,""
"12223",-5.50547770214657,4.01554092570033,18.0234739675046,0.000480590056181806,"ENSG00000226501","USF1P1",NA,"ENSG00000226501_USF1P1",0.0183374972902955,TRUE,-18.0234739675046,""
"12224",-3.90202452562451,2.58373252480922,43.6740689898378,4.70210323064299e-08,"ENSG00000226608","FTLP3",NA,"ENSG00000226608_FTLP3",5.99842255144144e-05,TRUE,-43.6740689898378,""
"12225",-0.205257909849372,2.97276979211162,3.49297501255248e-08,0.999852922340459,"ENSG00000226617","RPL21P110",NA,"ENSG00000226617_RPL21P110",0.955911851539117,FALSE,-3.49297501255248e-08,""
"12226",0.680422026664323,2.34039984640552,0.843045250791451,0.368434072129769,"ENSG00000226632","UBE2V1P1",NA,"ENSG00000226632_UBE2V1P1",0.625126331868092,FALSE,0.843045250791451,""
"12227",0.209956174445358,4.09135167861861,4.6502875600577e-09,1,"ENSG00000226726","TMEM256P2",NA,"ENSG00000226726_TMEM256P2",1,FALSE,4.6502875600577e-09,""
